Date,Close
2013-01-01,396.9
2013-01-02,393.75
2013-01-03,397.8
2013-01-04,403.65
2013-01-07,404.95
2013-01-08,398.15
2013-01-09,397.05
2013-01-10,395.6
2013-01-11,419.95
2013-01-14,419.15
2013-01-15,420.95
2013-01-16,419.95
2013-01-17,430.7
2013-01-18,397.35
2013-01-21,397.55
2013-01-22,398.75
2013-01-23,401.75
2013-01-24,404.95
2013-01-25,407.65
2013-01-28,413.55
2013-01-29,408.65
2013-01-30,414.85
2013-01-31,411.55
2013-02-01,407.6
2013-02-04,408.1
2013-02-05,407.0
2013-02-06,405.65
2013-02-07,405.7
2013-02-08,412.4
2013-02-11,409.5
2013-02-12,411.85
2013-02-13,409.45
2013-02-14,395.8
2013-02-15,399.25
2013-02-18,402.9
2013-02-19,410.75
2013-02-20,412.3
2013-02-21,405.8
2013-02-22,415.95
2013-02-25,419.1
2013-02-26,415.9
2013-02-27,418.5
2013-02-28,416.4
2013-03-01,421.7
2013-03-04,419.5
2013-03-05,433.05
2013-03-06,441.9
2013-03-07,449.35
2013-03-08,445.35
2013-03-11,439.55
2013-03-12,438.65
2013-03-13,439.3
2013-03-14,438.5
2013-03-15,440.95
2013-03-18,433.65
2013-03-19,433.65
2013-03-20,429.95
2013-03-21,434.75
2013-03-22,435.7
2013-03-25,431.35
2013-03-26,437.95
2013-03-28,437.15
2013-04-01,431.0
2013-04-02,449.65
2013-04-03,448.6
2013-04-04,445.1
2013-04-05,454.6
2013-04-08,448.8
2013-04-09,393.7
2013-04-10,402.25
2013-04-11,402.95
2013-04-12,383.8
2013-04-15,379.1
2013-04-16,381.35
2013-04-17,374.55
2013-04-18,369.05
2013-04-22,339.4
2013-04-23,342.75
2013-04-25,335.5
2013-04-26,330.2
2013-04-29,342.0
2013-04-30,348.35
2013-05-02,352.25
2013-05-03,355.25
2013-05-06,357.35
2013-05-07,350.8
2013-05-08,351.05
2013-05-09,354.8
2013-05-10,355.0
2013-05-11,355.0
2013-05-13,347.95
2013-05-14,347.65
2013-05-15,346.15
2013-05-16,346.45
2013-05-17,344.0
2013-05-20,337.95
2013-05-21,338.9
2013-05-22,342.05
2013-05-23,337.1
2013-05-24,336.2
2013-05-27,340.25
2013-05-28,340.1
2013-05-29,339.35
2013-05-30,336.1
2013-05-31,327.65
2013-06-03,324.95
2013-06-04,330.9
2013-06-05,325.0
2013-06-06,330.0
2013-06-07,334.9
2013-06-10,343.25
2013-06-11,345.05
2013-06-12,344.35
2013-06-13,340.0
2013-06-14,337.55
2013-06-17,338.05
2013-06-18,341.2
2013-06-19,343.5
2013-06-20,347.5
2013-06-21,348.4
2013-06-24,346.55
2013-06-25,343.75
2013-06-26,348.1
2013-06-27,347.1
2013-06-28,349.0
2013-07-01,351.25
2013-07-02,352.95
2013-07-03,343.35
2013-07-04,349.65
2013-07-05,350.95
2013-07-08,355.5
2013-07-09,360.15
2013-07-10,364.85
2013-07-11,364.0
2013-07-12,375.6
2013-07-15,381.9
2013-07-16,375.4
2013-07-17,387.1
2013-07-18,385.85
2013-07-19,391.4
2013-07-22,392.95
2013-07-23,384.2
2013-07-24,392.35
2013-07-25,376.25
